attack,phrases
phishing,Verify your account information now.
phishing,Suspicious activity detected in your account.
phishing,"Congratulations, you've won a prize! Click here to claim."
phishing,Urgent message from your bank - action required.
phishing,Important security update - please log in.
phishing,Your account needs immediate attention - click to resolve.
phishing,Your account has been suspended - verify your details.
phishing,Confirm your personal information to prevent a lockout.
phishing,You've been selected for an exclusive offer - act now.
phishing,Account compromise alert - log in to secure your data.
phishing,Unlock your account by confirming your credentials.
phishing,Review and update your account information.
phishing,Immediate action required - verify your account.
phishing,Access your prize by clicking the link.
phishing,Urgent account verification - please click to proceed.
phishing,Your account status is in jeopardy - confirm now.
phishing,Your login session has expired - click to log in.
phishing,Suspicious login attempt - confirm your identity.
phishing,Your email account is at risk - verify your information.
phishing,Please update your personal information immediately.
Spear Phishing,